Date,CASES
01-03-2020,0
01-04-2020,0
01-05-2020,0
01-06-2020,0
01-07-2020,0
01-08-2020,0
01-09-2020,0
01-10-2020,0
01-11-2020,0
01-12-2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,5
1/31/2020,0
02-01-2020,0
02-02-2020,1
02-03-2020,1
02-04-2020,0
02-05-2020,0
02-06-2020,0
02-07-2020,0
02-08-2020,0
02-09-2020,0
02-10-2020,0
02-11-2020,0
02-12-2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
03-01-2020,0
03-02-2020,2
03-03-2020,0
03-04-2020,22
03-05-2020,1
03-06-2020,3
03-07-2020,3
03-08-2020,5
03-09-2020,5
03-10-2020,6
03-11-2020,10
03-12-2020,14
3/13/2020,7
3/14/2020,3
3/15/2020,23
3/16/2020,7
3/17/2020,23
3/18/2020,14
3/19/2020,40
3/20/2020,0
3/21/2020,88
3/22/2020,58
3/23/2020,93
3/24/2020,85
3/25/2020,87
3/26/2020,43
3/27/2020,75
3/28/2020,0
3/29/2020,255
3/30/2020,92
3/31/2020,180
04-01-2020,385
04-02-2020,329
04-03-2020,336
04-04-2020,601
04-05-2020,472
04-06-2020,693
04-07-2020,354
04-08-2020,853
04-09-2020,591
04-10-2020,547
04-11-2020,1035
04-12-2020,909
4/13/2020,796
4/14/2020,1211
4/15/2020,1076
4/16/2020,941
4/17/2020,1007
4/18/2020,991
4/19/2020,1334
4/20/2020,1553
4/21/2020,1336
4/22/2020,1383
4/23/2020,1409
4/24/2020,1684
4/25/2020,1429
4/26/2020,1990
4/27/2020,1396
4/28/2020,1543
4/29/2020,1897
4/30/2020,1718
05-01-2020,1993
05-02-2020,2293
05-03-2020,2644
05-04-2020,2553
05-05-2020,3900
05-06-2020,2958
05-07-2020,3561
05-08-2020,3390
05-09-2020,3320
05-10-2020,3277
05-11-2020,4213
05-12-2020,3604
5/13/2020,3525
5/14/2020,3722
5/15/2020,3967
5/16/2020,3970
5/17/2020,4987
5/18/2020,5242
5/19/2020,4970
5/20/2020,5611
5/21/2020,5609
5/22/2020,6088
5/23/2020,6654
5/24/2020,6767
